device_id,device_name,sample_time,variable,value
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 05:20:00,DC Current,0
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 05:25:00,DC Current,0
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 05:30:00,DC Current,0.0720528
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 05:35:00,DC Current,0
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 05:40:00,DC Current,0
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 05:45:00,DC Current,0
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 05:50:00,DC Current,0
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 05:55:00,DC Current,0
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 06:00:00,DC Current,0.15892666666666666
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 06:05:00,DC Current,0.33382666666666666
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 06:10:00,DC Current,0.51
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 06:15:00,DC Current,0.8438576666666665
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 06:20:00,DC Current,0.9961533333333333
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 06:25:00,DC Current,1.1487962333333332
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 06:30:00,DC Current,1.2861686666666665
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 06:35:00,DC Current,1.6947699
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 06:40:00,DC Current,1.4806123666666666
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 06:45:00,DC Current,1.553791333333333
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 06:50:00,DC Current,1.5950039999999999
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 06:55:00,DC Current,2.0352493333333332
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 07:00:00,DC Current,3.1098521999999997
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 07:05:00,DC Current,4.157264
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 07:10:00,DC Current,7.243937466666666
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 07:15:00,DC Current,8.160642966666668
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 07:20:00,DC Current,10.290765966666667
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 07:25:00,DC Current,12.665653066666668
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 07:30:00,DC Current,13.3841035
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 07:35:00,DC Current,13.554377933333333
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 07:40:00,DC Current,13.673982399999998
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 07:45:00,DC Current,13.378533833333332
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 07:50:00,DC Current,12.819962666666667
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 07:55:00,DC Current,12.05138
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 08:00:00,DC Current,13.354947133333333
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 08:05:00,DC Current,12.953775333333335
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 08:10:00,DC Current,12.9688109
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 08:15:00,DC Current,12.901275733333334
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 08:20:00,DC Current,11.9687596
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 08:25:00,DC Current,11.140922466666668
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 08:30:00,DC Current,11.187523166666667
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 08:35:00,DC Current,12.863284233333333
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 08:40:00,DC Current,12.891382199999999
2580,TB3 - QGFV C - INV01 - ENT07,2025-02-12 08:45:00,DC Current,13.034866733333333
